ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063834226.1	NP_610964.1	36605	Achl	Achilles
XP_063834231.1	NP_609389.1	34403	Cand1	Cullin-associated and neddylation-dissociated 1
XP_063834232.1	NP_001097315.1	36609	L	Lobe
XP_063834233.1	NP_525109.1	35940	Rab32	Rab32
XP_063834234.1	NP_648104.2	38809	mus312	mutagen-sensitive 312
XP_063834235.1	NP_610288.1	35681	mEFTu2	mitochondrial translation elongation factor Tu 2
XP_063834244.1	NP_476774.1	35147	tup	tailup
XP_063834248.1	NP_609894.2	35118	CG31751	uncharacterized protein
XP_063834250.1	NP_611541.1	37389	mRpL54	mitochondrial ribosomal protein L54
XP_063834251.1	NP_611116.2	5740310	Nox	NADPH oxidase
XP_063834256.1	NP_649365.1	40431	eIF2A	eukaryotic translation initiation factor 2A
XP_063834257.1	NP_610605.1	36130	Mat1	Menage a trois 1
XP_063834259.1	NP_609618.2	34721	Ski6	Ski6
XP_063834260.1	NP_523476.1	33703	mRpL24	mitochondrial ribosomal protein L24
XP_063834262.1	NP_650541.1	41990	CG14881	uncharacterized protein
XP_063834263.1	NP_001033959.1	3885594	CG33998	uncharacterized protein
XP_063834264.1	NP_611205.1	36950	Vajk4	Vajk4
XP_063834265.1	NP_610463.2	35934	Prp38	pre-mRNA processing factor 38
XP_063834270.1	NP_725114.1	36321	RpS11	Ribosomal protein S11
XP_063834272.1	NP_524911.3	48317	ttk	tramtrack
XP_063834274.1	NP_611079.2	36768	CG8399	uncharacterized protein
XP_063834275.1	NP_647995.1	38661	PolE2	DNA polymerase epsilon subunit 2
XP_063834276.1	NP_524018.2	39189	Or67c	Odorant receptor 67c
XP_063834278.1	NP_648426.1	39233	CG6321	uncharacterized protein
XP_063834279.1	NP_651958.2	43935	NtR	NtR
XP_063834285.1	NP_608868.1	33689	Mon1	Monensin sensitivity 1
XP_063834289.1	NP_609652.3	34757	CG7110	uncharacterized protein
XP_063834290.1	NP_609582.3	34677	PICK1	Protein interacting with C kinase 1
XP_063834292.1	NP_524321.1	41407	Ho	Heme oxygenase
XP_063834294.1	NP_523577.1	34934	Tektin-A	Tektin A
XP_063834295.1	NP_572842.1	32245	fne	found in neurons
XP_063834296.1	NP_609242.2	34191	CG17834	uncharacterized protein
XP_063834311.1	NP_611692.1	37588	CG3732	uncharacterized protein
XP_063834320.1	NP_726260.1	37629	inaD	inactivation no afterpotential D
XP_063834322.1	NP_524663.2	43952	MED20	Mediator complex subunit 20
XP_063834323.1	NP_611505.1	37341	CG11159	uncharacterized protein
XP_063834326.1	NP_611386.2	37181	Jheh2	Juvenile hormone epoxide hydrolase 2
XP_063834334.1	NP_647674.1	38251	Tmhs	Tetraspan membrane protein in hair cell stereocilia
XP_063834335.1	NP_610264.1	35646	Gadd45	Growth arrest and DNA damage-inducible 45
XP_063834338.1	NP_611528.1	37372	CG9344	uncharacterized protein
XP_063834339.1	NP_608605.1	33337	nis	no individualized sperm
XP_063834344.1	NP_724796.3	35977	brp	bruchpilot
XP_063834351.1	NP_611372.3	37165	Mctp	Multiple C2 domain and transmembrane region protein
XP_063834357.1	NP_610284.1	35674	p47	p47
XP_063834362.1	NP_611295.1	37072	CG5742	uncharacterized protein
XP_063834363.1	NP_569851.2	31013	CG13367	uncharacterized protein
XP_063834364.1	NP_651101.1	42704	CG7031	uncharacterized protein
XP_063834365.1	NP_650706.1	42197	CG7131	uncharacterized protein
XP_063834366.1	NP_525055.1	31249	HLH3B	Helix loop helix protein 3B
XP_063834369.1	NP_524987.1	53437	Sulf1	Sulfated
XP_063834370.1	NP_652017.1	45467	mtd	mustard
XP_063834380.1	NP_650958.2	42520	Nelf-A	Negative elongation factor A
XP_063834384.1	NP_649466.1	40559	lost	lost
XP_063834385.1	NP_650689.1	42178	CG7985	uncharacterized protein
XP_063834386.1	NP_651571.3	43315	dsd	distracted
XP_063834388.1	NP_652002.2	44936	Eip93F	Ecdysone-induced protein 93F
XP_063834389.1	NP_648252.1	38997	CG6511	uncharacterized protein
XP_063834390.1	NP_524858.1	45961	Pep	Protein on ecdysone puffs
XP_063834396.1	NP_788618.1	318260	CG32939	uncharacterized protein
XP_063834398.1	NP_651600.1	43353	mfrn	mitoferrin
XP_063834403.1	NP_651623.1	43386	CG9986	uncharacterized protein
XP_063834406.1	NP_651629.1	43392	htt	huntingtin
XP_063834407.1	NP_476854.1	42210	gl	glass
XP_063834409.1	NP_733069.1	326119	5PtaseI	Inositol polyphosphate-5-phosphatase type I
XP_063834410.1	NP_649216.2	40249	RhoBTB	Rho-related BTB domain containing
XP_063834412.1	NP_649627.1	40762	Osi8	Osiris 8
XP_063834413.1	NP_731065.1	318801	Osi16	Osiris 16
XP_063834414.1	NP_649638.2	40774	Osi17	Osiris 17
XP_063834422.1	NP_001097943.1	43271	CG6051	uncharacterized protein
XP_063834424.1	NP_651288.1	42954	polybromo	polybromo
XP_063834428.1	NP_649463.2	40556	CG9855	uncharacterized protein
XP_063834429.1	NP_649460.3	40552	Sfxn1-3	Sideroflexin 1/3
XP_063834432.1	NP_651597.1	43350	mino	minotaur
XP_063834444.1	NP_476708.1	33210	Polr1B	RNA polymerase I subunit B
XP_063834449.1	NP_650754.2	42258	Octalpha2R	alpha2-adrenergic-like octopamine receptor
XP_063834453.1	NP_732734.3	42632	lqfR	liquid facets-Related
XP_063834455.1	NP_650718.2	42212	CG14309	uncharacterized protein
XP_063834456.1	NP_001097672.1	40539	flip	flippy
XP_063834457.1	NP_649981.1	47137	knk	knickkopf
XP_063834459.1	NP_612000.3	38019	CG6845	uncharacterized protein
XP_063834464.1	NP_650767.1	42274	snRNP-U1-C	small ribonucleoprotein particle U1 subunit C
XP_063834468.1	NP_001027225.1	2768940	Pp2A-29B	Protein phosphatase 2A at 29B
XP_063834469.1	NP_476908.1	41550	Vha55	Vacuolar H[+]-ATPase 55kD subunit
XP_063834474.1	NP_651865.1	43707	CG1607	uncharacterized protein
XP_063834475.1	NP_001097889.2	42820	CG34355	uncharacterized protein
XP_063834477.1	NP_523450.1	33281	S	Star
XP_063834480.1	NP_001015498.5	3355174	ORY	Occludin-Related Y
XP_063834481.1	NP_731062.1	40768	CG15594	uncharacterized protein
XP_063834482.1	NP_650348.1	41733	MetRS-m	Methionyl-tRNA synthetase, mitochondrial
XP_063834486.1	NP_651599.1	43352	BOD1	Biorientation Defective 1
XP_063834487.1	NP_477101.1	35590	SdhB	Succinate dehydrogenase, subunit B (iron-sulfur)
XP_063834488.1	NP_524593.1	43609	mRpS18C	mitochondrial ribosomal protein S18C
XP_063834489.1	NP_650960.2	42523	ETHR	ETHR
XP_063834490.1	NP_651773.1	43584	CG15529	uncharacterized protein
XP_063834493.1	NP_651774.2	43585	CG11498	uncharacterized protein
XP_063834494.1	NP_651696.1	43475	FipoQ	F-box involved in polyQ pathogenesis
XP_063834496.1	NP_733350.1	318563	VhaAC45RP	VhaAC45-related protein
XP_063834498.1	NP_651057.1	42652	Octbeta1R	Octopamine beta1 receptor
XP_063834499.1	NP_001034049.1	41549	Octbeta2R	Octopamine beta2 receptor
XP_063834503.1	NP_523520.2	34236	Or30a	Odorant receptor 30a
XP_063834504.1	NP_511140.1	32221	CkIalpha	Casein kinase Ialpha
XP_063834508.1	NP_524586.1	43587	Mlc2	Myosin light chain 2
XP_063834514.1	NP_649879.2	41109	CG8861	uncharacterized protein
XP_063834515.1	NP_477144.1	42817	mbc	myoblast city
XP_063834516.1	NP_733352.3	43586	Rsod	Related to Sod
XP_063834517.1	NP_650956.1	42518	Oga	O-GlcNAcase
XP_063834518.1	NP_524431.2	42521	e	ebony
XP_063834519.1	NP_650753.1	42257	CG7720	uncharacterized protein
XP_063834520.1	NP_524669.2	43982	Oamb	Octopamine receptor in mushroom bodies
XP_063834522.1	NP_651762.1	43562	CG7920	uncharacterized protein
XP_063834523.1	NP_649459.4	40551	CG1090	uncharacterized protein
XP_063834524.1	NP_733239.1	43351	NSD	Nuclear receptor binding SET domain protein
XP_063834530.1	NP_524433.1	42536	tin	tinman
XP_063834531.1	NP_650972.2	42545	sp3	spermathreecae
XP_063834534.1	NP_573024.1	32472	CG11655	uncharacterized protein
XP_063834545.1	NP_524435.2	42542	lbe	ladybird early
XP_063834546.1	NP_649641.1	40777	Osi20	Osiris 20
XP_063834547.1	NP_608574.2	33294	Tfb4	Transcription factor B4
XP_063834549.1	NP_650317.3	41690	CG9286	uncharacterized protein
XP_063834550.1	NP_649640.1	40776	Osi19	Osiris 19
XP_063834554.1	NP_524279.2	41007	Or85b	Odorant receptor 85b
XP_063834557.1	NP_477395.1	38199	alphaCOP	Coat Protein (coatomer) alpha
XP_063834558.1	NP_476641.1	35523	mle	maleless
XP_063834559.1	NP_731974.4	41825	Gyc88E	Guanylyl cyclase at 88E
XP_063834560.1	NP_573265.1	32786	CG7536	uncharacterized protein
XP_063834561.1	NP_648588.1	39434	nst	nesthocker
XP_063834563.1	NP_609049.1	33921	Ent2	Equilibrative nucleoside transporter 2
XP_063834565.1	NP_651000.1	42586	Idh3b	Isocitrate dehydrogenase 3b
XP_063834566.1	NP_477324.1	45285	Dr	Drop
XP_063834570.1	NP_733319.1	43533	Zip99C	Zinc/iron regulated transporter-related protein 99C
XP_063834571.1	NP_733044.1	326135	Kaz	Katazuke
XP_063834575.1	NP_525019.2	64877	cpx	complexin
XP_063834581.1	NP_648220.1	38956	CG13667	uncharacterized protein
XP_063834585.1	NP_649598.1	40727	CG1208	uncharacterized protein
XP_063834586.1	NP_476880.1	47877	tws	twins
XP_063834590.1	NP_523806.2	37485	Loxl2	Lysyl oxidase-like 2
XP_063834591.1	NP_649599.1	40728	CG1213	uncharacterized protein
XP_063834594.1	NP_650652.1	42136	TyrR	Tyramine receptor
XP_063834599.1	NP_651335.2	43009	CG11920	uncharacterized protein
XP_063834602.1	NP_476867.1	49045	Gprk2	G protein-coupled receptor kinase 2
XP_063834603.1	NP_001027575.1	3772109	Meltrin	meltrin
XP_063834604.1	NP_651040.3	42633	Nop56	Nop56
XP_063834605.1	NP_649495.1	40595	Ccdc39	Coiled-coil domain containing protein 39
XP_063834606.1	NP_649784.1	40983	tex	tex
XP_063834608.1	NP_649618.1	40752	Osi1	Osiris 1
XP_063834614.1	NP_651315.2	42987	Nmnat	Nicotinamide mononucleotide adenylyltransferase
XP_063834615.1	NP_651319.2	42991	beta4GalT7	beta-4-galactosyltransferase 7
XP_063834619.1	NP_001368940.1	54520442	Osi10a	Osiris 10a
XP_063834624.1	NP_651224.1	42872	CG5510	uncharacterized protein
XP_063834626.1	NP_610539.1	36035	CG1418	uncharacterized protein
XP_063834627.1	NP_649624.1	40759	Osi5	Osiris 5
XP_063834628.1	NP_650607.1	42076	m-cup	mann-cup
XP_063834629.1	NP_732637.1	42537	bap	bagpipe
XP_063834632.1	NP_651079.2	42679	wfs1	wolfram syndrome 1
XP_063834633.1	NP_649469.2	40562	srl	spargel
XP_063834636.1	NP_524557.1	43560	Nlp	Nucleoplasmin
XP_063834638.1	NP_733292.1	43476	Trc8	TRC8 ring finger protein
XP_063834640.1	NP_732244.3	42110	Hmx	H6-like-homeobox
XP_063834654.1	NP_524014.2	39158	RasGAP1	Ras GTPase activating protein 1
XP_063834655.1	NP_524044.1	39435	Tsf2	Transferrin 2
XP_063834656.1	NP_652040.2	46201	l(3)07882	lethal (3) 07882
XP_063834657.1	NP_611498.1	37334	CG13436	uncharacterized protein
XP_063834658.1	NP_647745.1	38341	Non2	Novel nucleolar protein 2
XP_063834659.1	NP_524444.3	42587	Mitofilin	mitofilin
XP_063834661.1	NP_648176.1	38901	CG7550	uncharacterized protein
XP_063834662.1	NP_651478.1	43192	CG5447	uncharacterized protein
XP_063834663.1	NP_476657.1	42547	slou	slouch
XP_063834664.1	NP_523510.1	34135	Scgalpha	Sarcoglycan alpha
XP_063834668.1	NP_650366.1	41756	HtrA2	HTRA2-related serine protease
XP_063834670.1	NP_001027171.1	3772559	Skel	Skeletor
XP_063834679.1	NP_649982.1	41242	TAF1B	TATA box-binding protein-associated factor RNA polymerase I subunit B
XP_063834680.1	NP_649869.1	41097	CG8420	uncharacterized protein
XP_063834683.1	NP_525054.2	31244	Tsp3A	Tetraspanin 3A
XP_063834687.1	NP_611639.1	37520	Plekhm1	Pleckstrin homology and RUN domain containing M1
XP_063834688.1	NP_572308.3	31567	Rpt4	Regulatory particle triple-A ATPase 4
XP_063834698.1	NP_609318.1	34307	mtDNA-helicase	mitochondrial DNA helicase
XP_063834701.1	NP_477007.2	41726	Dop1R1	Dopamine 1-like receptor 1
XP_063834702.1	NP_524245.3	40754	NPFR	Neuropeptide F receptor
XP_063834707.1	NP_649621.1	40756	Osi2	Osiris 2
XP_063834711.1	NP_650179.1	41499	CG4115	uncharacterized protein
XP_063834715.1	NP_649620.2	40755	Osi24	Osiris 24
XP_063834717.1	NP_524387.1	42109	Prx3	Peroxiredoxin 3
XP_063834720.1	NP_650995.1	42580	dnd	dead end
XP_063834721.1	NP_650369.3	41760	Pde6	Phosphodiesterase 6
XP_063834722.1	NP_476971.1	43283	pll	pelle
XP_063834723.1	NP_651223.2	42869	TBC1d7	TBC1 domain family member 7
XP_063834725.1	NP_649645.1	40781	SmD2	Small ribonucleoprotein particle protein SmD2
XP_063834726.1	NP_649626.1	40761	Osi7	Osiris 7
XP_063834727.1	NP_649456.3	40547	CG1103	uncharacterized protein
XP_063834729.1	NP_650717.1	42211	CG7675	uncharacterized protein
XP_063834732.1	NP_476853.1	45827	bic	bicaudal
XP_063834733.1	NP_649451.1	40542	Vps24	Vacuolar protein sorting 24
XP_063834735.1	NP_651965.1	44005	NHP2	NHP2
XP_063834736.1	NP_524336.2	41602	CtBP	C-terminal Binding Protein
XP_063834737.1	NP_649465.6	40558	CG14647	uncharacterized protein
XP_063834740.1	NP_651731.1	43521	Vps16B	Vacuolar protein sorting 16B
XP_063834741.1	NP_650775.2	42283	GatA	Glutamyl-tRNA amidotransferase, subunit A
XP_063834744.1	NP_611547.2	37398	CG34396	uncharacterized protein
XP_063834747.1	NP_524599.1	43669	5-HT7	5-hydroxytryptamine (serotonin) receptor 7
XP_063834748.1	NP_511065.1	31603	Mcm6	Minichromosome maintenance 6
XP_063834751.1	NP_608684.1	33431	CG9886	uncharacterized protein
XP_063834752.1	NP_476873.2	42544	C15	C15
XP_063834753.1	NP_610300.1	35695	CG1360	uncharacterized protein
XP_063834755.1	NP_524350.1	41742	Crz	Corazonin
XP_063834757.1	NP_477022.1	35796	Mlh1	Mlh1
XP_063834758.1	NP_649870.1	41098	St2	Sulfotransferase 2
XP_063834759.1	NP_524355.2	41838	mRpS10	mitochondrial ribosomal protein S10
XP_063834762.1	NP_649818.1	41035	TMEM216	Transmembrane protein 216
XP_063834764.1	NP_651002.3	42589	CG6028	uncharacterized protein
XP_063834766.1	NP_608531.1	33231	Tspo	Translocator protein
XP_063834773.1	NP_001350853.2	43463	CG11951	uncharacterized protein
XP_063834774.1	NP_651628.1	43391	snu	snustorr
XP_063834775.1	NP_524493.1	42993	Hr96	Hormone receptor-like in 96
XP_063834781.1	NP_651776.2	43588	CG1983	uncharacterized protein
XP_063834783.1	NP_524039.2	39411	Obp69a	Odorant-binding protein 69a
XP_063834784.1	NP_649930.4	261629	Unc-115a	Uncoordinated 115a
XP_063834785.1	NP_649931.1	41179	trbd	trabid
XP_063834786.1	NP_573101.1	32571	CG12395	uncharacterized protein
XP_063834787.1	NP_651118.1	42726	Ublcp1	Ubiquitin-like domain-containing C-terminal domain phosphatase 1
XP_063834788.1	NP_649639.1	40775	Osi18	Osiris 18
XP_063834789.1	NP_651320.1	42992	EMC6	ER membrane protein complex subunit 6
XP_063834793.1	NP_649760.1	40949	Pbp95	PSEA-binding protein 95kD
XP_063834798.1	NP_511153.1	32395	mRpS25	mitochondrial ribosomal protein S25
XP_063834799.1	NP_731868.1	41697	ems	empty spiracles
XP_063834800.1	NP_649630.1	40765	Osi11	Osiris 11
XP_063834801.1	NP_649631.1	40766	Osi12	Osiris 12
XP_063834803.1	NP_609822.1	35027	CG12288	uncharacterized protein
XP_063834805.1	NP_610573.1	36087	CG12909	uncharacterized protein
XP_063834807.1	NP_651671.1	43441	dgt6	dim gamma-tubulin 6
XP_063834809.1	NP_650092.4	41393	CG14710	uncharacterized protein
XP_063834810.1	NP_573245.1	32763	CG8142	uncharacterized protein
XP_063834813.1	NP_649622.2	40757	Osi3	Osiris 3
XP_063834816.1	NP_609492.1	34548	Csl4	Csl4
XP_063834818.1	NP_649703.1	40862	CG10055	uncharacterized protein
XP_063834824.1	NP_651001.2	42588	mRpL35	mitochondrial ribosomal protein L35
XP_063834825.1	NP_648271.3	39026	CG5026	uncharacterized protein
XP_063834826.1	NP_651881.2	43730	Zmynd8	Zinc finger MYND-type containing 8
XP_063834828.1	NP_650116.2	41426	HisCl1	Histamine-gated chloride channel subunit 1
XP_063834837.1	NP_524624.1	43797	Pur-alpha	Purine-rich binding protein-alpha
XP_063834840.1	NP_524842.2	45816	onecut	onecut
XP_063834841.1	NP_477315.1	35746	rnh1	ribonuclease H1
XP_063834844.1	NP_523899.1	38389	Hsp83	Heat shock protein 83
XP_063834846.1	NP_723578.1	34416	Cnot4	CCR4-NOT transcription complex subunit 4
XP_063834849.1	NP_001014642.4	3346162	Gfrl	Glial cell line-derived neurotrophic family receptor-like
XP_063834850.1	NP_001097726.1	41182	FoxP	Forkhead box P
XP_063834853.1	NP_609887.1	35111	CG10413	uncharacterized protein
XP_063834854.1	NP_001033807.1	3885647	Mitf	mitf
XP_063834865.1	NP_476820.1	31201	Vinc	Vinculin
XP_063834866.1	NP_524438.1	42561	GABA-B-R2	metabotropic GABA-B receptor subtype 2
XP_063834867.1	NP_995592.2	43782	NfI	Nuclear factor I
XP_063834868.1	NP_524633.3	43825	sv	shaven
XP_063834870.1	NP_524409.2	42380	Hs6st	Heparan sulfate 6-O-sulfotransferase
XP_063834871.1	NP_649744.3	40928	CG17816	uncharacterized protein
XP_063834872.1	NP_648778.1	39686	dop	drop out
XP_063834874.1	NP_651936.1	43816	MED26	Mediator complex subunit 26
XP_063834875.1	NP_001033884.2	326157	mon2	monensin sensitivity 2
XP_063834876.1	NP_001262171.2	40391	Wnk	Wnk kinase
XP_063834878.1	NP_611551.1	37403	Magi	magi
XP_063834880.1	NP_524179.2	40232	polo	polo
XP_063834881.1	NP_726568.2	43789	dati	datilografo
XP_063834888.1	NP_650300.2	41671	Task6	TWIK-related acid-sensitive K[+] channel 6
XP_063834890.1	NP_648972.2	39934	CG7692	uncharacterized protein
XP_063834891.1	NP_573231.2	32743	RhoGAPp190	Rho GTPase activating protein p190
XP_063834894.1	NP_477307.1	40675	CRMP	Collapsin Response Mediator Protein
XP_063834900.1	NP_651922.1	43791	lgs	legless
XP_063834909.1	NP_730594.1	40327	siz	schizo
XP_063834912.1	NP_610468.1	35941	CG8026	uncharacterized protein
XP_063834914.1	NP_524048.2	39443	Ptp69D	Protein tyrosine phosphatase 69D
XP_063834917.1	NP_569947.2	31139	Gcna	Germ cell nuclear acidic peptidase
XP_063834920.1	NP_609387.1	34401	CtsL4	Cathepsin L4
XP_063834921.1	NP_649527.1	40637	CG11999	uncharacterized protein
XP_063834923.1	NP_609913.2	35142	CG10600	uncharacterized protein
XP_063834925.1	NP_001014702.1	3346141	CG33521	uncharacterized protein
XP_063834926.1	NP_524720.2	44219	Sr-CII	Scavenger receptor class C, type II
XP_063834927.1	NP_650521.1	41953	CG10185	uncharacterized protein
XP_063834930.1	NP_648982.1	39947	CG18265	uncharacterized protein
XP_063834932.1	NP_648696.2	39571		nanchung
XP_063834936.1	NP_523486.1	33837	Kdm5	Lysine demethylase 5
XP_063834937.1	NP_524632.1	43824	Cals	Calsyntenin
XP_063834938.1	NP_608631.1	326152	erm	earmuff
XP_063834939.1	NP_651925.1	43796	Tdg	Thymine DNA glycosylase
XP_063834940.1	NP_573139.1	32636	SNRPG	Small nuclear ribonucleoprotein G
XP_063834941.1	NP_609298.1	34275	brwl	brickwall
XP_063834942.1	NP_572465.1	31759	CG2147	uncharacterized protein
XP_063834943.1	NP_524634.2	43827	apolpp	apolipophorin
XP_063834945.1	NP_651930.2	43805	Gat	GABA transporter
XP_063834952.1	NP_524406.1	45910	ort	ora transientless
XP_063834953.1	NP_650585.1	42050	CG8907	uncharacterized protein
XP_063834957.1	NP_524712.1	44155	CG10939	uncharacterized protein
XP_063834960.1	NP_649659.2	40797	CG15186	uncharacterized protein
XP_063834962.1	NP_651766.1	43574	CG7943	uncharacterized protein
XP_063834966.1	NP_572293.1	31542	CG4660	uncharacterized protein
XP_063834968.1	NP_726551.2	43777	CG31999	uncharacterized protein
XP_063834969.1	NP_651906.1	43772	Abcd1	ATP binding cassette subfamily D member 1
XP_063834977.1	NP_523461.1	33474	daw	dawdle
XP_063834978.1	NP_731634.2	41428	ClC-a	Chloride channel-a
XP_063834979.1	NP_525090.1	32544	Gbeta13F	G protein beta subunit 13F
XP_063834981.1	NP_650991.1	42576	CG6656	uncharacterized protein
XP_063834983.1	NP_649654.3	40792	Dmtn	Dementin
XP_063834986.1	NP_001033810.1	3885567	Dyrk3	Dual-specificity tyrosine phosphorylation-regulated kinase 3
XP_063834992.1	NP_651877.1	43726	Mnat9	microtubule-associated Nat9
XP_063834996.1	NP_995598.1	43814	bt	bent
XP_063834997.1	NP_523385.1	32721	Fim	Fimbrin
XP_063834999.1	NP_001036444.1	3355143	p120ctn	p120 catenin
XP_063835000.1	NP_651280.1	42942	Polr2L	RNA polymerase II, I and III subunit L
XP_063835003.1	NP_651908.1	43775	Crk	Crk oncogene
XP_063835004.1	NP_648148.2	38863	Ank2	Ankyrin 2
XP_063835006.1	NP_476965.1	37447	Sdc	Syndecan
XP_063835007.1	NP_524226.1	40581	Karybeta3	Karyopherin beta 3
XP_063835009.1	NP_476772.1	40848	alphaTub84B	alpha-Tubulin at 84B
XP_063835011.1	NP_726532.1	317815	anne	anne boleyn
XP_063835017.1	NP_650524.1	41960	CG5916	uncharacterized protein
XP_063835025.1	NP_726564.5	43787	PMCA	plasma membrane calcium ATPase
XP_063835026.1	NP_524677.1	44018	cas	castor
XP_063835027.1	NP_648475.1	39294	CG7394	uncharacterized protein
XP_063835030.1	NP_477191.1	33759	vri	vrille
XP_063835037.1	NP_572438.1	31728	UbcE2H	Ubiquitin conjugating enzyme E2H
XP_063835039.1	NP_608780.1	33563	Sec5	Secretory 5
XP_063835041.1	NP_524203.2	40378	Hr78	Hormone-receptor-like in 78
XP_063835042.1	NP_524383.3	42066	cher	cheerio
XP_063835054.1	NP_647622.1	38180	Pcyt2	Phosphocholine cytidylyltransferase 2
XP_063835056.1	NP_610947.3	36586	CG8547	uncharacterized protein
XP_063835058.1	NP_730941.1	40664	Itpr	Inositol 1,4,5,-trisphosphate receptor
XP_063835059.1	NP_524617.3	43767	ci	cubitus interruptus
XP_063835068.1	NP_001027029.2	49968	Cadps	Calcium-dependent secretion activator
XP_063835080.1	NP_726548.1	43774	CG31998	uncharacterized protein
XP_063835082.1	NP_524821.1	45368	Treh	Trehalase
XP_063835086.1	NP_649089.2	40084	CNPYb	Canopy b
XP_063835089.1	NP_788885.1	318916	CG33181	uncharacterized protein
XP_063835094.1	NP_726604.1	43811	myo	myoglianin
XP_063835095.1	NP_523989.1	39049	bol	boule
XP_063835096.1	NP_651268.1	42927	ana1	anastral spindle 1
XP_063835097.1	NP_609677.1	34788	CG16865	uncharacterized protein
XP_063835105.1	NP_649715.2	40879	rn	rotund
XP_063835108.1	NP_652003.2	44978	Tom40	Translocase of outer membrane 40
XP_063835117.1	NP_652729.2	117365	HBS1	HBS1
XP_063835120.1	NP_647916.1	38561	CG11357	uncharacterized protein
XP_063835121.1	NP_610267.2	44011	pwn	pawn
XP_063835125.1	NP_001033801.3	3885646	CG33978	uncharacterized protein
XP_063835126.1	NP_523417.2	33005	Nep3	Neprilysin 3
XP_063835128.1	NP_649850.1	41071	RagA-B	Ras-related GTP binding A/B
XP_063835129.1	NP_524619.3	43769	pan	pangolin
XP_063835134.1	NP_610397.4	35846	Cirl	Calcium-independent receptor for alpha-latrotoxin
XP_063835142.1	NP_610032.1	35310	CG10949	uncharacterized protein
XP_063835148.1	NP_523466.2	33555	Ptpa	Phosphotyrosyl phosphatase activator
XP_063835165.1	NP_572301.2	31556	CG14445	uncharacterized protein
XP_063835170.1	NP_649849.1	41070	CAHbeta	Carbonic anhydrase beta
XP_063835173.1	NP_609237.1	34184	CG13097	uncharacterized protein
XP_063835176.1	NP_525104.3	34950	Ca-alpha1D	Ca[2+]-channel protein alpha[[1]] subunit D
XP_063835180.1	NP_524159.1	40129	Shal	Shaker cognate l
XP_063835184.1	NP_523983.1	39013	dally	division abnormally delayed
XP_063835189.1	NP_732811.1	42717	lmd	lame duck
XP_063835191.1	NP_650632.1	42106	P5cr-2	Pyrroline-5-carboxylate reductase-like 2
XP_063835195.1	NP_523984.1	39014	Mcm7	Minichromosome maintenance 7
XP_063835197.1	NP_536736.2	42553	PolA1	DNA polymerase alpha subunit 1
XP_063835198.1	NP_649965.2	41221	Spn85F	Serpin 85F
XP_063835206.1	NP_651740.1	43532	RpS8	Ribosomal protein S8
XP_063835208.1	NP_523943.1	38669	Rcc1	Regulator of chromosome condensation 1
XP_063835209.1	NP_652600.1	53425	Alk	Anaplastic lymphoma kinase
XP_063835211.1	NP_725857.1	37201	ena	enabled
XP_063835215.1	NP_476636.1	37402	mago	mago nashi
XP_063835221.1	NP_610988.1	36643	Spred	Sprouty-related protein with EVH-1 domain
XP_063835224.1	NP_649476.1	40569	Fip1	Factor interacting with poly(A) polymerase 1
XP_063835225.1	NP_477317.1	36915	RhoGEF2	Rho guanine nucleotide exchange factor 2
XP_063835228.1	NP_650803.1	42319	CG18493	uncharacterized protein
XP_063835231.1	NP_572242.1	31481	CG4119	uncharacterized protein
XP_063835232.1	NP_608781.2	33564	CG3246	uncharacterized protein
XP_063835240.1	NP_788286.1	44097	sns	sticks and stones
XP_063835243.1	NP_649508.1	40612	Jhbp2	Juvenile hormone binding protein 2
XP_063835244.1	NP_648454.1	39268	CG42671	uncharacterized protein
XP_063835246.1	NP_648431.3	39240	Noc1	Nucleolar complex protein 1
XP_063835248.1	NP_995893.1	2768852	par-1	par-1
XP_063835253.1	NP_524218.4	40515	nrm	neuromusculin
XP_063835257.1	NP_611398.2	37202	CG10737	uncharacterized protein
XP_063835267.1	NP_477376.1	37782	Cpes	Ceramide phosphoethanolamine synthase
XP_063835270.1	NP_523817.1	37662	Fib	Fibrillarin
XP_063835271.1	NP_476733.1	35662	so	sine oculis
XP_063835273.1	NP_648514.1	39338	RpL10Ab	Ribosomal protein L10Ab
XP_063835275.1	NP_610270.1	35656	Glo1	Glyoxalase 1
XP_063835276.1	NP_611500.1	37336	maf-S	maf-S
XP_063835278.1	NP_611399.2	37203	hppy	happyhour
XP_063835279.1	NP_652145.1	49953	GCS2alpha	Glucosidase 2 alpha subunit
XP_063835280.1	NP_611354.2	37146	CG30122	uncharacterized protein
XP_063835282.1	NP_996246.1	2768674	Fancd2	Fancd2
XP_063835283.1	NP_650772.1	42280	CG14286	uncharacterized protein
XP_063835284.1	NP_732085.1	41932	CG45105	uncharacterized protein
XP_063835288.1	NP_476630.1	33214	RpLP1	Ribosomal protein LP1
XP_063835290.1	NP_725963.3	37310	side-VIII	sidestep VIII
XP_063835291.1	NP_523837.2	37858	gek	genghis khan
XP_063835294.1	NP_651296.1	42963	CG7006	uncharacterized protein
XP_063835295.1	NP_610899.1	36523	Cpr50Ca	Cuticular protein 50Ca
XP_063835296.1	NP_650446.2	41857	CG6236	uncharacterized protein
XP_063835297.1	NP_650432.1	41834	CG12241	uncharacterized protein
